Country/Region;Date;Confirmed;Deaths
Spain;1/22/20;0;0
Spain;1/23/20;0;0
Spain;1/24/20;0;0
Spain;1/25/20;0;0
Spain;1/26/20;0;0
Spain;1/27/20;0;0
Spain;1/28/20;0;0
Spain;1/29/20;0;0
Spain;1/30/20;0;0
Spain;1/31/20;0;0
Spain;2/1/20;1;0
Spain;2/2/20;1;0
Spain;2/3/20;1;0
Spain;2/4/20;1;0
Spain;2/5/20;1;0
Spain;2/6/20;1;0
Spain;2/7/20;1;0
Spain;2/8/20;1;0
Spain;2/9/20;2;0
Spain;2/10/20;2;0
Spain;2/11/20;2;0
Spain;2/12/20;2;0
Spain;2/13/20;2;0
Spain;2/14/20;2;0
Spain;2/15/20;2;0
Spain;2/16/20;2;0
Spain;2/17/20;2;0
Spain;2/18/20;2;0
Spain;2/19/20;2;0
Spain;2/20/20;2;0
Spain;2/21/20;2;0
Spain;2/22/20;2;0
Spain;2/23/20;2;0
Spain;2/24/20;2;0
Spain;2/25/20;6;0
Spain;2/26/20;13;0
Spain;2/27/20;15;0
Spain;2/28/20;32;0
Spain;2/29/20;45;0
Spain;3/1/20;84;0
Spain;3/2/20;120;0
Spain;3/3/20;165;1
Spain;3/4/20;222;2
Spain;3/5/20;259;3
Spain;3/6/20;400;5
Spain;3/7/20;500;10
Spain;3/8/20;673;17
Spain;3/9/20;1073;28
Spain;3/10/20;1695;35
Spain;3/11/20;2277;54
Spain;3/12/20;2277;55
Spain;3/13/20;5232;133
Spain;3/14/20;6391;195
Spain;3/15/20;7798;289
Spain;3/16/20;9942;342
Spain;3/17/20;11748;533
Spain;3/18/20;13910;623
Spain;3/19/20;17963;830
Spain;3/20/20;20410;1043
Spain;3/21/20;25374;1375
Spain;3/22/20;28768;1772
Spain;3/23/20;35136;2311
Spain;3/24/20;39885;2808
Spain;3/25/20;49515;3647
